Year,Month,Day,Hour,Minute,DHI,DNI,GHI,,Power
2022,1,3,0,0,0,0,0,,0.00
2022,1,3,0,5,0,0,0,,0.00
2022,1,3,0,10,0,0,0,,0.00
2022,1,3,0,15,0,0,0,,0.00
2022,1,3,0,20,0,0,0,,0.00
2022,1,3,0,25,0,0,0,,0.00
2022,1,3,0,30,0,0,0,,0.00
2022,1,3,0,35,0,0,0,,0.00
2022,1,3,0,40,0,0,0,,0.00
2022,1,3,0,45,0,0,0,,0.00
2022,1,3,0,50,0,0,0,,0.00
2022,1,3,0,55,0,0,0,,0.00
2022,1,3,1,60,0,0,0,,0.00
2022,1,3,1,65,0,0,0,,0.00
2022,1,3,1,70,0,0,0,,0.00
2022,1,3,1,75,0,0,0,,0.00
2022,1,3,1,80,0,0,0,,0.00
2022,1,3,1,85,0,0,0,,0.00
2022,1,3,1,90,0,0,0,,0.00
2022,1,3,1,95,0,0,0,,0.00
2022,1,3,1,100,0,0,0,,0.00
2022,1,3,1,105,0,0,0,,0.00
2022,1,3,1,110,0,0,0,,0.00
2022,1,3,1,115,0,0,0,,0.00
2022,1,3,2,120,0,0,0,,0.00
2022,1,3,2,125,0,0,0,,0.00
2022,1,3,2,130,0,0,0,,0.00
2022,1,3,2,135,0,0,0,,0.00
2022,1,3,2,140,0,0,0,,0.00
2022,1,3,2,145,0,0,0,,0.00
2022,1,3,2,150,0,0,0,,0.00
2022,1,3,2,155,0,0,0,,0.00
2022,1,3,2,160,0,0,0,,0.00
2022,1,3,2,165,0,0,0,,0.00
2022,1,3,2,170,0,0,0,,0.00
2022,1,3,2,175,0,0,0,,0.00
2022,1,3,3,180,0,0,0,,0.00
2022,1,3,3,185,0,0,0,,0.00
2022,1,3,3,190,0,0,0,,0.00
2022,1,3,3,195,0,0,0,,0.00
2022,1,3,3,200,0,0,0,,0.00
2022,1,3,3,205,0,0,0,,0.00
2022,1,3,3,210,0,0,0,,0.00
2022,1,3,3,215,0,0,0,,0.00
2022,1,3,3,220,0,0,0,,0.00
2022,1,3,3,225,0,0,0,,0.00
2022,1,3,3,230,0,0,0,,0.00
2022,1,3,3,235,0,0,0,,0.00
2022,1,3,4,240,0,0,0,,0.00
2022,1,3,4,245,0,0,0,,0.00
2022,1,3,4,250,0,0,0,,0.00
2022,1,3,4,255,0,0,0,,0.00
2022,1,3,4,260,0,0,0,,0.00
2022,1,3,4,265,0,0,0,,0.00
2022,1,3,4,270,0,0,0,,0.00
2022,1,3,4,275,0,0,0,,0.00
2022,1,3,4,280,0,0,0,,0.00
2022,1,3,4,285,0,0,0,,0.00
2022,1,3,4,290,0,0,0,,0.00
2022,1,3,4,295,0,0,0,,0.00
2022,1,3,5,300,0,0,0,,0.00
2022,1,3,5,305,0,0,0,,0.00
2022,1,3,5,310,0,0,0,,0.00
2022,1,3,5,315,0,0,0,,0.00
2022,1,3,5,320,0,0,0,,0.00
2022,1,3,5,325,0,0,0,,0.00
2022,1,3,5,330,0,0,0,,0.00
2022,1,3,5,335,0,0,0,,0.00
2022,1,3,5,340,0,0,0,,0.00
2022,1,3,5,345,0,0,0,,0.00
2022,1,3,5,350,0,0,0,,0.00
2022,1,3,5,355,0,0,0,,0.00
2022,1,3,6,360,0,0,0,,0.00
2022,1,3,6,365,0,0,0,,0.00
2022,1,3,6,370,0,0,0,,0.00
2022,1,3,6,375,0,0,0,,0.00
2022,1,3,6,380,0,0,0,,0.00
2022,1,3,6,385,0,0,0,,0.00
2022,1,3,6,390,0,0,0,,0.00
2022,1,3,6,395,0,0,0,,0.00
2022,1,3,6,400,0,0,0,,0.00
2022,1,3,6,405,0,0,0,,0.00
2022,1,3,6,410,0,0,0,,0.00
2022,1,3,6,415,0,0,0,,0.00
2022,1,3,7,420,0,0,0,,0.00
2022,1,3,7,425,0,0,0,,0.00
2022,1,3,7,430,0,0,0,,0.00
2022,1,3,7,435,0,0,0,,0.00
2022,1,3,7,440,0,0,0,,0.00
2022,1,3,7,445,0,0,0,,0.00
2022,1,3,7,450,0,0,0,,0.00
2022,1,3,7,455,0,0,0,,0.00
2022,1,3,7,460,0,0,0,,0.00
2022,1,3,7,465,0,0,0,,0.00
2022,1,3,7,470,0,0,0,,0.00
2022,1,3,7,475,0,0,0,,0.00
2022,1,3,8,480,0,0,0,,0.00
2022,1,3,8,485,0,0,0,,0.00
2022,1,3,8,490,0,0,0,,0.00
2022,1,3,8,495,13,259,19,,3.42
2022,1,3,8,500,16,315,27,,4.16
2022,1,3,8,505,19,366,36,,4.61
2022,1,3,8,510,21,412,46,,4.62
2022,1,3,8,515,24,457,57,,4.63
2022,1,3,8,520,27,494,69,,4.64
2022,1,3,8,525,29,528,81,,4.65
2022,1,3,8,530,31,558,93,,4.66
2022,1,3,8,535,34,586,105,,4.67
2022,1,3,9,540,36,612,118,,4.68
2022,1,3,9,545,38,635,131,,4.69
2022,1,3,9,550,40,656,143,,4.70
2022,1,3,9,555,41,676,156,,4.70
2022,1,3,9,560,43,695,169,,4.70
2022,1,3,9,565,45,711,182,,4.70
2022,1,3,9,570,46,727,194,,4.70
2022,1,3,9,575,52,716,205,,4.71
2022,1,3,9,580,53,731,217,,4.72
2022,1,3,9,585,55,744,230,,4.73
2022,1,3,9,590,56,756,241,,4.74
2022,1,3,9,595,58,768,253,,4.75
2022,1,3,10,600,59,778,265,,4.76
2022,1,3,10,605,61,788,276,,4.77
2022,1,3,10,610,62,798,288,,4.77
2022,1,3,10,615,63,807,298,,4.77
2022,1,3,10,620,64,815,309,,4.77
2022,1,3,10,625,65,822,319,,4.77
2022,1,3,10,630,66,830,329,,4.77
2022,1,3,10,635,69,831,338,,4.77
2022,1,3,10,640,70,838,348,,4.77
2022,1,3,10,645,70,844,357,,4.77
2022,1,3,10,650,71,849,365,,4.77
2022,1,3,10,655,72,855,374,,4.77
2022,1,3,11,660,73,859,382,,4.77
2022,1,3,11,665,74,864,389,,4.77
2022,1,3,11,670,74,868,397,,4.77
2022,1,3,11,675,75,872,404,,4.78
2022,1,3,11,680,76,876,410,,4.78
2022,1,3,11,685,76,879,416,,4.78
2022,1,3,11,690,77,883,422,,4.78
2022,1,3,11,695,81,875,427,,4.78
2022,1,3,11,700,81,877,432,,4.78
2022,1,3,11,705,82,880,436,,4.78
2022,1,3,11,710,82,882,441,,4.78
2022,1,3,11,715,83,884,444,,4.78
2022,1,3,12,720,83,886,448,,4.77
2022,1,3,12,725,83,888,451,,4.76
2022,1,3,12,730,83,889,454,,4.75
2022,1,3,12,735,84,890,456,,4.74
2022,1,3,12,740,84,891,458,,4.73
2022,1,3,12,745,84,892,459,,4.72
2022,1,3,12,750,84,892,460,,4.71
2022,1,3,12,755,85,888,460,,4.70
2022,1,3,12,760,85,888,460,,4.69
2022,1,3,12,765,85,888,460,,4.68
2022,1,3,12,770,85,887,459,,4.67
2022,1,3,12,775,85,887,458,,4.66
2022,1,3,13,780,85,886,457,,4.65
2022,1,3,13,785,85,885,455,,4.64
2022,1,3,13,790,85,884,453,,4.63
2022,1,3,13,795,85,883,450,,4.62
2022,1,3,13,800,84,881,447,,4.61
2022,1,3,13,805,84,879,443,,4.61
2022,1,3,13,810,84,877,439,,4.61
2022,1,3,13,815,85,867,434,,4.61
2022,1,3,13,820,85,864,429,,4.61
2022,1,3,13,825,84,861,424,,4.61
2022,1,3,13,830,84,858,419,,4.61
2022,1,3,13,835,83,855,413,,4.61
2022,1,3,14,840,83,851,406,,4.61
2022,1,3,14,845,82,847,400,,4.61
2022,1,3,14,850,81,834,389,,4.61
2022,1,3,14,855,80,829,382,,4.61
2022,1,3,14,860,79,824,374,,4.61
2022,1,3,14,865,78,819,366,,4.61
2022,1,3,14,870,77,813,357,,4.61
2022,1,3,14,875,77,804,348,,4.61
2022,1,3,14,880,76,797,339,,4.61
2022,1,3,14,885,75,790,330,,4.61
2022,1,3,14,890,74,783,320,,4.61
2022,1,3,14,895,73,775,310,,4.61
2022,1,3,15,900,72,767,300,,4.61
2022,1,3,15,905,70,758,289,,4.61
2022,1,3,15,910,69,748,278,,4.61
2022,1,3,15,915,67,738,268,,4.61
2022,1,3,15,920,66,727,256,,4.61
2022,1,3,15,925,64,715,245,,4.61
2022,1,3,15,930,63,703,233,,4.61
2022,1,3,15,935,62,686,221,,4.61
2022,1,3,15,940,60,672,209,,4.61
2022,1,3,15,945,58,657,197,,4.61
2022,1,3,15,950,56,640,184,,4.61
2022,1,3,15,955,54,623,172,,4.61
2022,1,3,16,960,52,604,159,,4.61
2022,1,3,16,965,49,583,147,,4.61
2022,1,3,16,970,47,561,134,,4.61
2022,1,3,16,975,44,529,120,,4.61
2022,1,3,16,980,42,504,108,,4.61
2022,1,3,16,985,39,476,96,,4.61
2022,1,3,16,990,36,445,84,,4.61
2022,1,3,16,995,32,424,73,,4.61
2022,1,3,16,1000,29,388,61,,4.61
2022,1,3,16,1005,26,349,50,,4.61
2022,1,3,16,1010,23,305,40,,4.03
2022,1,3,16,1015,19,258,31,,3.41
2022,1,3,17,1020,16,208,23,,2.75
2022,1,3,17,1025,12,154,15,,2.03
2022,1,3,17,1030,0,0,0,,0.00
2022,1,3,17,1035,0,0,0,,0.00
2022,1,3,17,1040,0,0,0,,0.00
2022,1,3,17,1045,0,0,0,,0.00
2022,1,3,17,1050,0,0,0,,0.00
2022,1,3,17,1055,0,0,0,,0.00
2022,1,3,17,1060,0,0,0,,0.00
2022,1,3,17,1065,0,0,0,,0.00
2022,1,3,17,1070,0,0,0,,0.00
2022,1,3,17,1075,0,0,0,,0.00
2022,1,3,18,1080,0,0,0,,0.00
2022,1,3,18,1085,0,0,0,,0.00
2022,1,3,18,1090,0,0,0,,0.00
2022,1,3,18,1095,0,0,0,,0.00
2022,1,3,18,1100,0,0,0,,0.00
2022,1,3,18,1105,0,0,0,,0.00
2022,1,3,18,1110,0,0,0,,0.00
2022,1,3,18,1115,0,0,0,,0.00
2022,1,3,18,1120,0,0,0,,0.00
2022,1,3,18,1125,0,0,0,,0.00
2022,1,3,18,1130,0,0,0,,0.00
2022,1,3,18,1135,0,0,0,,0.00
2022,1,3,19,1140,0,0,0,,0.00
2022,1,3,19,1145,0,0,0,,0.00
2022,1,3,19,1150,0,0,0,,0.00
2022,1,3,19,1155,0,0,0,,0.00
2022,1,3,19,1160,0,0,0,,0.00
2022,1,3,19,1165,0,0,0,,0.00
2022,1,3,19,1170,0,0,0,,0.00
2022,1,3,19,1175,0,0,0,,0.00
2022,1,3,19,1180,0,0,0,,0.00
2022,1,3,19,1185,0,0,0,,0.00
2022,1,3,19,1190,0,0,0,,0.00
2022,1,3,19,1195,0,0,0,,0.00
2022,1,3,20,1200,0,0,0,,0.00
2022,1,3,20,1205,0,0,0,,0.00
2022,1,3,20,1210,0,0,0,,0.00
2022,1,3,20,1215,0,0,0,,0.00
2022,1,3,20,1220,0,0,0,,0.00
2022,1,3,20,1225,0,0,0,,0.00
2022,1,3,20,1230,0,0,0,,0.00
2022,1,3,20,1235,0,0,0,,0.00
2022,1,3,20,1240,0,0,0,,0.00
2022,1,3,20,1245,0,0,0,,0.00
2022,1,3,20,1250,0,0,0,,0.00
2022,1,3,20,1255,0,0,0,,0.00
2022,1,3,21,1260,0,0,0,,0.00
2022,1,3,21,1265,0,0,0,,0.00
2022,1,3,21,1270,0,0,0,,0.00
2022,1,3,21,1275,0,0,0,,0.00
2022,1,3,21,1280,0,0,0,,0.00
2022,1,3,21,1285,0,0,0,,0.00
2022,1,3,21,1290,0,0,0,,0.00
2022,1,3,21,1295,0,0,0,,0.00
2022,1,3,21,1300,0,0,0,,0.00
2022,1,3,21,1305,0,0,0,,0.00
2022,1,3,21,1310,0,0,0,,0.00
2022,1,3,21,1315,0,0,0,,0.00
2022,1,3,22,1320,0,0,0,,0.00
2022,1,3,22,1325,0,0,0,,0.00
2022,1,3,22,1330,0,0,0,,0.00
2022,1,3,22,1335,0,0,0,,0.00
2022,1,3,22,1340,0,0,0,,0.00
2022,1,3,22,1345,0,0,0,,0.00
2022,1,3,22,1350,0,0,0,,0.00
2022,1,3,22,1355,0,0,0,,0.00
2022,1,3,22,1360,0,0,0,,0.00
2022,1,3,22,1365,0,0,0,,0.00
2022,1,3,22,1370,0,0,0,,0.00
2022,1,3,22,1375,0,0,0,,0.00
2022,1,3,23,1380,0,0,0,,0.00
2022,1,3,23,1385,0,0,0,,0.00
2022,1,3,23,1390,0,0,0,,0.00
2022,1,3,23,1395,0,0,0,,0.00
2022,1,3,23,1400,0,0,0,,0.00
2022,1,3,23,1405,0,0,0,,0.00
2022,1,3,23,1410,0,0,0,,0.00
2022,1,3,23,1415,0,0,0,,0.00
2022,1,3,23,1420,0,0,0,,0.00
2022,1,3,23,1425,0,0,0,,0.00
2022,1,3,23,1430,0,0,0,,0.00
2022,1,3,23,1435,0,0,0,,0.00