min,Point Time,Value
0,2024-10-15T00:00:00+00:00,1402.0
5,2024-10-15T00:05:00+00:00,1439.0
10,2024-10-15T00:10:00+00:00,1439.0
15,2024-10-15T00:15:00+00:00,1443.0
20,2024-10-15T00:20:00+00:00,1443.0
25,2024-10-15T00:25:00+00:00,1443.0
30,2024-10-15T00:30:00+00:00,1444.0
35,2024-10-15T00:35:00+00:00,1408.0
40,2024-10-15T00:40:00+00:00,1419.0
45,2024-10-15T00:45:00+00:00,1415.0
50,2024-10-15T00:50:00+00:00,1415.0
55,2024-10-15T00:55:00+00:00,1417.0
60,2024-10-15T01:00:00+00:00,1416.0
65,2024-10-15T01:05:00+00:00,1416.0
70,2024-10-15T01:10:00+00:00,1425.0
75,2024-10-15T01:15:00+00:00,1428.0
80,2024-10-15T01:20:00+00:00,1402.0
85,2024-10-15T01:25:00+00:00,1397.0
90,2024-10-15T01:30:00+00:00,1391.0
95,2024-10-15T01:35:00+00:00,1389.0
100,2024-10-15T01:40:00+00:00,1388.0
105,2024-10-15T01:45:00+00:00,1388.0
110,2024-10-15T01:50:00+00:00,1387.0
115,2024-10-15T01:55:00+00:00,1391.0
120,2024-10-15T02:00:00+00:00,1390.0
125,2024-10-15T02:05:00+00:00,1392.0
130,2024-10-15T02:10:00+00:00,1397.0
135,2024-10-15T02:15:00+00:00,1405.0
140,2024-10-15T02:20:00+00:00,1427.0
145,2024-10-15T02:25:00+00:00,1440.0
150,2024-10-15T02:30:00+00:00,1428.0
155,2024-10-15T02:35:00+00:00,1429.0
160,2024-10-15T02:40:00+00:00,1429.0
165,2024-10-15T02:45:00+00:00,1428.0
170,2024-10-15T02:50:00+00:00,1437.0
175,2024-10-15T02:55:00+00:00,1437.0
180,2024-10-15T03:00:00+00:00,1429.0
185,2024-10-15T03:05:00+00:00,1434.0
190,2024-10-15T03:10:00+00:00,1420.0
195,2024-10-15T03:15:00+00:00,1420.0
200,2024-10-15T03:20:00+00:00,1422.0
205,2024-10-15T03:25:00+00:00,1425.0
210,2024-10-15T03:30:00+00:00,1430.0
215,2024-10-15T03:35:00+00:00,1437.0
220,2024-10-15T03:40:00+00:00,1437.0
225,2024-10-15T03:45:00+00:00,1435.0
230,2024-10-15T03:50:00+00:00,1426.0
235,2024-10-15T03:55:00+00:00,1424.0
240,2024-10-15T04:00:00+00:00,1430.0
245,2024-10-15T04:05:00+00:00,1377.0
250,2024-10-15T04:10:00+00:00,1382.0
255,2024-10-15T04:15:00+00:00,1383.0
260,2024-10-15T04:20:00+00:00,1385.0
265,2024-10-15T04:25:00+00:00,1415.0
270,2024-10-15T04:30:00+00:00,1415.0
275,2024-10-15T04:35:00+00:00,1398.0
280,2024-10-15T04:40:00+00:00,1398.0
285,2024-10-15T04:45:00+00:00,1398.0
290,2024-10-15T04:50:00+00:00,1404.0
295,2024-10-15T04:55:00+00:00,1396.0
300,2024-10-15T05:00:00+00:00,1366.0
305,2024-10-15T05:05:00+00:00,1396.0
310,2024-10-15T05:10:00+00:00,1396.0
315,2024-10-15T05:15:00+00:00,1394.0
320,2024-10-15T05:20:00+00:00,1389.0
325,2024-10-15T05:25:00+00:00,1400.0
330,2024-10-15T05:30:00+00:00,1401.0
335,2024-10-15T05:35:00+00:00,1399.0
340,2024-10-15T05:40:00+00:00,1400.0
345,2024-10-15T05:45:00+00:00,1399.0
350,2024-10-15T05:50:00+00:00,1402.0
355,2024-10-15T05:55:00+00:00,1405.0
360,2024-10-15T06:00:00+00:00,1402.0
365,2024-10-15T06:05:00+00:00,1402.0
370,2024-10-15T06:10:00+00:00,1398.0
375,2024-10-15T06:15:00+00:00,1398.0
380,2024-10-15T06:20:00+00:00,1398.0
385,2024-10-15T06:25:00+00:00,1397.0
390,2024-10-15T06:30:00+00:00,1402.0
395,2024-10-15T06:35:00+00:00,1408.0
400,2024-10-15T06:40:00+00:00,1402.0
405,2024-10-15T06:45:00+00:00,1397.0
410,2024-10-15T06:50:00+00:00,1395.0
415,2024-10-15T06:55:00+00:00,1393.0
420,2024-10-15T07:00:00+00:00,1398.0
425,2024-10-15T07:05:00+00:00,1395.0
430,2024-10-15T07:10:00+00:00,1395.0
435,2024-10-15T07:15:00+00:00,1397.0
440,2024-10-15T07:20:00+00:00,1395.0
445,2024-10-15T07:25:00+00:00,1396.0
450,2024-10-15T07:30:00+00:00,1396.0
455,2024-10-15T07:35:00+00:00,1399.0
460,2024-10-15T07:40:00+00:00,1402.0
465,2024-10-15T07:45:00+00:00,1401.0
470,2024-10-15T07:50:00+00:00,1401.0
475,2024-10-15T07:55:00+00:00,1396.0
480,2024-10-15T08:00:00+00:00,1398.0
485,2024-10-15T08:05:00+00:00,1391.0
490,2024-10-15T08:10:00+00:00,1388.0
495,2024-10-15T08:15:00+00:00,1389.0
500,2024-10-15T08:20:00+00:00,1389.0
505,2024-10-15T08:25:00+00:00,1389.0
510,2024-10-15T08:30:00+00:00,1388.0
515,2024-10-15T08:35:00+00:00,1390.0
520,2024-10-15T08:40:00+00:00,1390.0
525,2024-10-15T08:45:00+00:00,1390.0
530,2024-10-15T08:50:00+00:00,1391.0
535,2024-10-15T08:55:00+00:00,1392.0
540,2024-10-15T09:00:00+00:00,1386.0
545,2024-10-15T09:05:00+00:00,1384.0
550,2024-10-15T09:10:00+00:00,1383.0
555,2024-10-15T09:15:00+00:00,1384.0
560,2024-10-15T09:20:00+00:00,1388.0
565,2024-10-15T09:25:00+00:00,1385.0
570,2024-10-15T09:30:00+00:00,1384.0
575,2024-10-15T09:35:00+00:00,1383.0
580,2024-10-15T09:40:00+00:00,1356.0
585,2024-10-15T09:45:00+00:00,1364.0
590,2024-10-15T09:50:00+00:00,1342.0
595,2024-10-15T09:55:00+00:00,1352.0
600,2024-10-15T10:00:00+00:00,1386.0
605,2024-10-15T10:05:00+00:00,1314.0
610,2024-10-15T10:10:00+00:00,1314.0
615,2024-10-15T10:15:00+00:00,1316.0
620,2024-10-15T10:20:00+00:00,1315.0
625,2024-10-15T10:25:00+00:00,1316.0
630,2024-10-15T10:30:00+00:00,1323.0
635,2024-10-15T10:35:00+00:00,1316.0
640,2024-10-15T10:40:00+00:00,1319.0
645,2024-10-15T10:45:00+00:00,1364.0
650,2024-10-15T10:50:00+00:00,1329.0
655,2024-10-15T10:55:00+00:00,1369.0
660,2024-10-15T11:00:00+00:00,1329.0
665,2024-10-15T11:05:00+00:00,1351.0
670,2024-10-15T11:10:00+00:00,1329.0
675,2024-10-15T11:15:00+00:00,977.0
680,2024-10-15T11:20:00+00:00,1321.0
685,2024-10-15T11:25:00+00:00,1353.0
690,2024-10-15T11:30:00+00:00,1034.0
695,2024-10-15T11:35:00+00:00,992.0
700,2024-10-15T11:40:00+00:00,1350.0
705,2024-10-15T11:45:00+00:00,1354.0
710,2024-10-15T11:50:00+00:00,1323.0
715,2024-10-15T11:55:00+00:00,1350.0
720,2024-10-15T12:00:00+00:00,1330.0
725,2024-10-15T12:05:00+00:00,1329.0
730,2024-10-15T12:10:00+00:00,1326.0
735,2024-10-15T12:15:00+00:00,1317.0
740,2024-10-15T12:20:00+00:00,1335.0
745,2024-10-15T12:25:00+00:00,1330.0
750,2024-10-15T12:30:00+00:00,1334.0
755,2024-10-15T12:35:00+00:00,1305.0
760,2024-10-15T12:40:00+00:00,1315.0
765,2024-10-15T12:45:00+00:00,1313.0
770,2024-10-15T12:50:00+00:00,1325.0
775,2024-10-15T12:55:00+00:00,1306.0
780,2024-10-15T13:00:00+00:00,1330.0
785,2024-10-15T13:05:00+00:00,1334.0
790,2024-10-15T13:10:00+00:00,1339.0
795,2024-10-15T13:15:00+00:00,1344.0
800,2024-10-15T13:20:00+00:00,1345.0
805,2024-10-15T13:25:00+00:00,1345.0
810,2024-10-15T13:30:00+00:00,1345.0
815,2024-10-15T13:35:00+00:00,1388.0
820,2024-10-15T13:40:00+00:00,1368.0
825,2024-10-15T13:45:00+00:00,1360.0
830,2024-10-15T13:50:00+00:00,1394.0
835,2024-10-15T13:55:00+00:00,1404.0
840,2024-10-15T14:00:00+00:00,1406.0
845,2024-10-15T14:05:00+00:00,1448.0
850,2024-10-15T14:10:00+00:00,1448.0
855,2024-10-15T14:15:00+00:00,1446.0
860,2024-10-15T14:20:00+00:00,1377.0
865,2024-10-15T14:25:00+00:00,1405.0
870,2024-10-15T14:30:00+00:00,1391.0
875,2024-10-15T14:35:00+00:00,1447.0
880,2024-10-15T14:40:00+00:00,1374.0
885,2024-10-15T14:45:00+00:00,1391.0
890,2024-10-15T14:50:00+00:00,1406.0
895,2024-10-15T14:55:00+00:00,1379.0
900,2024-10-15T15:00:00+00:00,1443.0
905,2024-10-15T15:05:00+00:00,1426.0
910,2024-10-15T15:10:00+00:00,1448.0
915,2024-10-15T15:15:00+00:00,1448.0
920,2024-10-15T15:20:00+00:00,1446.0
925,2024-10-15T15:25:00+00:00,1443.0
930,2024-10-15T15:30:00+00:00,1449.0
935,2024-10-15T15:35:00+00:00,1449.0
940,2024-10-15T15:40:00+00:00,1448.0
945,2024-10-15T15:45:00+00:00,1447.0
950,2024-10-15T15:50:00+00:00,1447.0
955,2024-10-15T15:55:00+00:00,1443.0
960,2024-10-15T16:00:00+00:00,1447.0
965,2024-10-15T16:05:00+00:00,1451.0
970,2024-10-15T16:10:00+00:00,1451.0
975,2024-10-15T16:15:00+00:00,1442.0
980,2024-10-15T16:20:00+00:00,1450.0
985,2024-10-15T16:25:00+00:00,1448.0
990,2024-10-15T16:30:00+00:00,1441.0
995,2024-10-15T16:35:00+00:00,1440.0
1000,2024-10-15T16:40:00+00:00,1434.0
1005,2024-10-15T16:45:00+00:00,1433.0
1010,2024-10-15T16:50:00+00:00,1428.0
1015,2024-10-15T16:55:00+00:00,1432.0
1020,2024-10-15T17:00:00+00:00,1432.0
1025,2024-10-15T17:05:00+00:00,1456.0
1030,2024-10-15T17:10:00+00:00,1377.0
1035,2024-10-15T17:15:00+00:00,1427.0
1040,2024-10-15T17:20:00+00:00,1383.0
1045,2024-10-15T17:25:00+00:00,1382.0
1050,2024-10-15T17:30:00+00:00,1450.0
1055,2024-10-15T17:35:00+00:00,1435.0
1060,2024-10-15T17:40:00+00:00,1457.0
1065,2024-10-15T17:45:00+00:00,1453.0
1070,2024-10-15T17:50:00+00:00,1456.0
1075,2024-10-15T17:55:00+00:00,1454.0
1080,2024-10-15T18:00:00+00:00,1457.0
1085,2024-10-15T18:05:00+00:00,1462.0
1090,2024-10-15T18:10:00+00:00,1462.0
1095,2024-10-15T18:15:00+00:00,1462.0
1100,2024-10-15T18:20:00+00:00,1458.0
1105,2024-10-15T18:25:00+00:00,1457.0
1110,2024-10-15T18:30:00+00:00,1452.0
1115,2024-10-15T18:35:00+00:00,1461.0
1120,2024-10-15T18:40:00+00:00,1460.0
1125,2024-10-15T18:45:00+00:00,1440.0
1130,2024-10-15T18:50:00+00:00,1373.0
1135,2024-10-15T18:55:00+00:00,1381.0
1140,2024-10-15T19:00:00+00:00,1380.0
1145,2024-10-15T19:05:00+00:00,1397.0
1150,2024-10-15T19:10:00+00:00,1404.0
1155,2024-10-15T19:15:00+00:00,1401.0
1160,2024-10-15T19:20:00+00:00,1467.0
1165,2024-10-15T19:25:00+00:00,1394.0
1170,2024-10-15T19:30:00+00:00,1449.0
1175,2024-10-15T19:35:00+00:00,1456.0
1180,2024-10-15T19:40:00+00:00,1456.0
1185,2024-10-15T19:45:00+00:00,1455.0
1190,2024-10-15T19:50:00+00:00,1394.0
1195,2024-10-15T19:55:00+00:00,1401.0
1200,2024-10-15T20:00:00+00:00,1400.0
1205,2024-10-15T20:05:00+00:00,1348.0
1210,2024-10-15T20:10:00+00:00,1442.0
1215,2024-10-15T20:15:00+00:00,1380.0
1220,2024-10-15T20:20:00+00:00,1423.0
1225,2024-10-15T20:25:00+00:00,1384.0
1230,2024-10-15T20:30:00+00:00,1373.0
1235,2024-10-15T20:35:00+00:00,1385.0
1240,2024-10-15T20:40:00+00:00,1377.0
1245,2024-10-15T20:45:00+00:00,1384.0
1250,2024-10-15T20:50:00+00:00,1373.0
1255,2024-10-15T20:55:00+00:00,1441.0
1260,2024-10-15T21:00:00+00:00,1441.0
1265,2024-10-15T21:05:00+00:00,1351.0
1270,2024-10-15T21:10:00+00:00,1405.0
1275,2024-10-15T21:15:00+00:00,1345.0
1280,2024-10-15T21:20:00+00:00,1348.0
1285,2024-10-15T21:25:00+00:00,1372.0
1290,2024-10-15T21:30:00+00:00,1382.0
1295,2024-10-15T21:35:00+00:00,1343.0
1300,2024-10-15T21:40:00+00:00,1367.0
1305,2024-10-15T21:45:00+00:00,1355.0
1310,2024-10-15T21:50:00+00:00,1379.0
1315,2024-10-15T21:55:00+00:00,1401.0
1320,2024-10-15T22:00:00+00:00,1403.0
1325,2024-10-15T22:05:00+00:00,1357.0
1330,2024-10-15T22:10:00+00:00,1350.0
1335,2024-10-15T22:15:00+00:00,1320.0
1340,2024-10-15T22:20:00+00:00,1331.0
1345,2024-10-15T22:25:00+00:00,1324.0
1350,2024-10-15T22:30:00+00:00,1345.0
1355,2024-10-15T22:35:00+00:00,1349.0
1360,2024-10-15T22:40:00+00:00,1361.0
1365,2024-10-15T22:45:00+00:00,1362.0
1370,2024-10-15T22:50:00+00:00,1360.0
1375,2024-10-15T22:55:00+00:00,1347.0
1380,2024-10-15T23:00:00+00:00,1323.0
1385,2024-10-15T23:05:00+00:00,1328.0
1390,2024-10-15T23:10:00+00:00,1328.0
1395,2024-10-15T23:15:00+00:00,1335.0
1400,2024-10-15T23:20:00+00:00,1330.0
1405,2024-10-15T23:25:00+00:00,1322.0
1410,2024-10-15T23:30:00+00:00,1369.0
1415,2024-10-15T23:35:00+00:00,1375.0
1420,2024-10-15T23:40:00+00:00,1378.0
1425,2024-10-15T23:45:00+00:00,1327.0
1430,2024-10-15T23:50:00+00:00,1316.0
1435,2024-10-15T23:55:00+00:00,1316.0
